alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_nom_fr,Energie ,Eau ,Proteines ,Glucides ,Lipides ,Sucres ,Amidon ,Fibres_alimentaires ,Cholesterol ,sel ,Calcium ,Fer ,Iode ,Beta_Carotene ,VitamineD ,VitamineE ,VitamineC ,VitamineB1 ,VitamineB12 
entrées et plats composés,sandwichs,-,"Sandwich baguette, salami, beurre",387,"26,9","11,2",35,"22,1","1,19","33,8","1,74","46,6","2,69","30,6","1,12","5,03",20,"0,34","0,41",0,"0,13","0,45"
entrées et plats composés,sandwichs,-,Croque-madame,257,"51,9","13,2","16,4","15,2","0,95",14,"1,05",194,"1,03",182,"1,14","21,2","69,8","0,68","0,88","0,014","0,16","0,4"
entrées et plats composés,sandwichs,-,Sandwich baguette (aliment moyen),285,"40,6","10,7",32,"12,5","1,82",,"2,18",,"1,58",,,,,,,,,
entrées et plats composés,sandwichs,-,"Sandwich pain de mie, garnitures diverses",267,45,"11,7","25,1","12,4","3,42",-,"3,83",-,"1,17",-,-,-,-,-,-,-,-,-
entrées et plats composés,sandwichs,-,"Croque-monsieur, rayon frais",276,"43,9","14,7","23,4","13,3",-,"3,9",2,31,"0,42",251,< 1,10,< 50,"0,7","0,6","1,7","0,15","1,5"
entrées et plats composés,sandwichs,-,"Sandwich pain de mie complet, jambon, crudités, fromage optionnel",243,-,10,"23,1","11,6","2,43",-,"3,06",-,"1,42",-,-,-,-,-,-,-,-,-
entrées et plats composés,sandwichs,-,"Sandwich pain de mie complet, thon, crudités, mayonnaise",240,-,"9,82","23,1","11,3","2,49",-,"3,46",-,"1,08",-,-,-,-,-,-,-,-,-
entrées et plats composés,sandwichs,-,"Sandwich pain de mie complet, jambon, fromage",292,-,"12,9","26,1","14,6","7,75",-,2,-,"1,33",205,-,-,-,-,-,-,-,-
entrées et plats composés,sandwichs,-,"Sandwich pain de mie complet, poulet, crudités, mayonnaise",232,-,"9,18","23,7","10,4","2,61",-,"3,63",-,"1,3",-,-,-,-,-,-,-,-,-
entrées et plats composés,feuilletées et autres entrées,-,"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.)",341,-,"13,3","24,6","19,9","3,76","20,8","4,95","76,3","1,74",170,"1,3",-,-,-,-,-,-,-
entrées et plats composés,feuilletées et autres entrées,-,Samossas ou Samoussas,237,"55,2","9,33","18,1","13,7","2,67","15,3","1,8",23,"1,26",31,"1,3",3,34,"< 0,5","1,45","0,7","0,068","0,34"
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté au poisson et / ou fruits de mer,260,"48,3","6,55","27,9",13,"4,3","18,3","2,9","59,2","1,02","39,4","0,4",50,280,"2,5","1,38",0,"0,087","0,77"
entrées et plats composés,feuilletées et autres entrées,-,"Spécialité chinoise ou bouchées à la vapeur, cuite",141,"64,6","5,9",26,"1,4","3,9",-,"0,21",-,"1,26",-,-,-,-,-,-,-,-,-
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté aux escargots,321,-,"6,69","23,1","22,1","1,09",-,"1,74",-,"1,17",-,-,-,-,-,-,-,-,-
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté ou Friand au fromage,308,42,"6,08","32,3","16,9","2,92","24,2","1,18","16,7","1,05",119,"1,4","10,4",80,"0,82","1,38","0,3","0,07","0,5"
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté ou Friand à la viande,354,"37,1","9,59","27,3","22,6","1,23",26,"1,63","70,7","1,55","15,6","1,65","7,1",-,-,-,-,-,-
entrées et plats composés,feuilletées et autres entrées,-,"Bouchée à la reine, à la viande/volaille/quenelle",296,"46,8","6,12","24,5","18,9","2,6","18,2","1,65","36,3","1,27",40,"0,42",< 20,108,"< 0,25","1,29","< 0,5","0,09","0,19"
entrées et plats composés,feuilletées et autres entrées,-,Croissant au jambon,246,54,"7,9","20,1","14,6","2,6",-,"1,53",-,"1,1",219,-,5,-,-,-,-,-,-
entrées et plats composés,feuilletées et autres entrées,-,Rouleau de printemps,109,"73,9","4,57",18,"1,82","3,6",13,"1,2","13,9","0,29","22,5","0,4",25,74,-,"0,18","1,5","< 0,04","0,16"
entrées et plats composés,feuilletées et autres entrées,-,Nem ou Pâté impérial,224,"54,8","6,48","23,1","11,2","3,02","17,2","2,54",28,"1,52",25,"0,9",1,180,"< 0,5","0,82","< 0,5","0,11","0,22"
entrées et plats composés,feuilletées et autres entrées,-,"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.)",186,"65,1","12,2","8,22","11,5","0,7","7,52","0,59","85,3","1,41","32,8","1,03","12,9","88,2","0,51","4,95","2,93","0,057","0,67"
entrées et plats composés,feuilletées et autres entrées,-,"Bouchée à la reine, au poisson et fruits de mer",138,"72,4","8,14","9,74","7,17","2,49","6,72",1,"35,1","0,97","58,2","1,29","41,7","21,3","1,11","1,12","0,81","0,046","1,93"
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté ou Friand jambon fromage,299,"43,4","8,46","27,8","16,7","3,65","24,1","1,9","23,6","1,29",115,"0,43","11,5","73,7","1,05","2,1","0,95","0,099","0,29"
entrées et plats composés,feuilletées et autres entrées,-,"Beignet de viande, volaille ou poisson, fait maison",237,"55,9","18,7","9,79","13,5","0,91","8,88","0,41","85,2","0,71","36,6","1,23","34,3","2,48","0,29","2,91","0,27","0,1","1,13"
entrées et plats composés,feuilletées et autres entrées,-,Brick à l'oeuf,256,"56,2","10,4","12,7","18,1","1,6","7,5","0,5",264,"1,35","70,7","1,4",31,100,"1,24",7,"3,6","0,06","0,81"
entrées et plats composés,feuilletées et autres entrées,-,Brick au boeuf,342,27,"10,4","33,5",17,"3,2",-,"6,8",75,"3,76",-,"5,2",15,9,"0,28","6,6","3,1","0,07","0,62"
entrées et plats composés,feuilletées et autres entrées,-,Brick à la pomme de terre,216,"60,2","3,25","19,8","13,4","1,5","15,9","1,7",31,1,"26,4","0,6","5,9",45,"0,14","7,7","8,8","0,08","0,09"
entrées et plats composés,feuilletées et autres entrées,-,Feuilleté salé (aliment moyen),307,"42,9","7,53","28,6","17,7","2,65",24,"1,62","39,8","1,21",92,"1,24","13,7",118,"1,18","1,49","0,34","0,078","0,52"
entrées et plats composés,feuilletées et autres entrées,-,"Bouchée à la reine, garnie (aliment moyen)",217,"59,6","7,13","17,1",13,"2,54","12,5","1,32","35,7","1,12","49,1","0,86","25,9","64,7","0,62","1,21","0,53","0,068","1,06"
entrées et plats composés,feuilletées et autres entrées,-,"Nem ou Pâté impérial, au poulet, cuit",197,"57,1","8,06","20,9","8,1","1,9","17,7","3,3","17,9","1,19",29,1,< 20,602,"< 0,25","1,18","< 0,5","0,18","0,095"
entrées et plats composés,feuilletées et autres entrées,-,"Nem ou Pâté impérial, au porc, cuit",237,"53,6","6,88","22,6","12,7","1,9","20,6","2,4","15,7","1,14",25,"0,91",< 20,394,"< 0,25","2,33","< 0,5","0,083","0,18"
entrées et plats composés,feuilletées et autres entrées,-,"Nem ou Pâté impérial, aux crevettes et/ou au crabe, cuit",213,55,"7,44","23,7","9,2","2,4","18,6","2,7","27,7","1,2",47,"1,1",< 20,688,"< 0,25","1,99","< 0,5","0,041","0,51"
entrées et plats composés,feuilletées et autres entrées,-,Croissant au jambon fromage,258,-,"8,92",22,"14,5","2,77",-,2,-,"1,28",117,-,-,-,-,-,-,-,-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Avocat, pulpe, cru",155,"75,7","1,61","3,67","13,8",1,"2,1",4,"< 0,5","0,063","11,2","0,34",< 10,60,0,"1,77","4,07","0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Bette ou blette, crue","12,3","95,4",1,"0,5","< 0,5","0,5","< 0,35","1,8",0,"0,57",25,"0,85",< 20,"25,9","< 0,25","0,25","3,08","< 0,015",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Carotte, crue","36,4","89,6","0,77","6,45","0,26","5,42","0,8","2,7",0,"0,098","32,6","0,31",< 5,8290,0,"0,61","5,84","0,054",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, tout type, cru","21,6","92,6","2,34","1,88","0,23","1,43",0,"1,72",0,"0,012","7,78","0,69",1,0,"0,2","0,01","3,4","0,084",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Salade ou chicorée frisée, crue","22,7","92,9","1,48","2,4","0,25","0,7",-,"2,45",0,"0,077",76,"0,85","0,4",3430,0,"2,26","18,5","0,07",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou rouge, cru","29,1","90,7","1,34","4,5","0,18","3,49",0,"2,05",0,"0,047","44,8","0,63","0,1",670,0,"0,09","58,5","0,065",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou-fleur, cru",23,"92,9","1,77","2,05","0,31","1,56","0,3","2,13",0,"0,0092","26,4","0,41","0,8",0,0,"0,14","56,6","0,054",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Concombre, pulpe et peau, cru","13,6",96,"0,64","2,04","0,11","1,34","0,67","0,6",0,"0,012","19,2","0,13","0,3",45,0,"0,09","8,25","0,022",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courgette, pulpe et peau, crue","16,5","94,7","1,22","1,8","0,26","1,79",0,"1,05",0,"0,017","18,7","0,36","1,64",120,0,"0,12","17,5","0,047",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Cresson de fontaine, cru","14,9","94,6","2,06","0,9","0,15","0,2",-,"0,85",0,"0,13",101,"0,9","13,5",1910,0,1,"51,5","0,095",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Céleri branche, cru","21,5","94,2","0,66","3,6","0,19","1,27",0,"1,6",0,"0,2","48,4","0,3","1,1",270,0,"0,24","6,05","0,028",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Endive, crue","20,8","95,5","1,1","3,15","0,2","2,2","< 0,5",1,0,"0,005","23,9","0,14",< 10,< 50,0,"0,27","1,5","< 0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Fenouil, cru",20,92,"1,14","2,3","0,2","2,21","0,092","2,23",0,"0,074","39,6","0,53","0,5",578,0,"0,58","10,5","0,02",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Laitue, crue","15,1","95,3","1,3","1,33","0,2","0,73",0,"1,2",0,"0,021","64,6","0,98","1,22",3640,0,"0,18","11,8","0,067",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Oignon, cru",39,"89,6","1,1","6,25","0,62","4,8","< 0,5","1,7",0,"0,098",25,"0,00019",< 10,< 50,0,"0,045","3,9","< 0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Pissenlit, cru","48,8","85,3","2,84","6,1","0,85","0,71",-,"2,7",0,"0,22","62,3","3,1","0,4",5850,0,"3,44","37,5","0,19",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Poireau, cru","32,6","87,6","1,59","4,9","0,25","3,15",-,"2,27",0,"0,034","50,7","1,5","1,1",1000,0,"0,74","18,5","0,065",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Poivron, vert, jaune ou rouge, cru","26,8","92,1","0,8","4,55","0,27","2,7","< 0,5","1,5",0,"0,021","7,7","0,4",< 5,834,"< 0,5","1,44",121,"0,041",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Potiron, cru","19,9","91,6",1,"3,5","0,1","1,36",1,"0,5",0,"0,0025",21,"0,8",-,3100,0,"1,06",9,"0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Radis rouge, cru","11,4","95,9","0,76","1,24","0,1","1,24",0,"1,1",0,"0,077",32,"0,27",1,4,0,"0,01","27,5","0,021",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Tomate, crue","18,4","94,1","0,86","2,26","0,26","2,25",0,"1,2",0,"0,0081","8,14","0,12","0,2",449,0,"0,66","15,5","0,039",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Artichaut, cru","45,7","84,9","3,1","5,02","0,18","0,99","0,6","5,4",0,"0,15",52,"1,19","0,5",8,0,"0,27","11,7","0,081",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Aubergine, crue","21,2","92,9","1,12","2,39","0,14","2,39",-,"2,7",0,"0,0063","8,7","0,32","0,15",14,0,"0,17","2,1","0,045",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Cardon, cru","13,6",94,"0,66","1,7","0,1","1,5","0,2","1,6",0,"0,3",70,"0,7","0,095",-,0,"0,19",2,"0,02",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Céleri-rave, cru","32,4","88,6","1,5","4,3","0,2","3,6","< 0,5","3,7",0,"0,2","25,9","0,24",< 10,< 50,0,"0,1",2,"< 0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon de Paris ou champignon de couche, cru","21,1","93,9","2,62","1,33","0,36","1,06","0,085",1,0,"0,098","6,03","0,31",1,0,"0,3","0,02","3,09","0,073",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Brocoli, cru","35,9","88,9","3,95","1,68","0,48","1,68",0,"2,9",0,"0,048","45,9","0,76","0,8",361,0,"1,04",106,"0,074",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou de Bruxelles, cru","50,1",85,"3,98","5,67","0,4","2,2",1,"3,95",0,"0,041","32,3","1,15","0,25",450,0,"0,89",103,"0,13",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Épinard, cru","28,7","91,6","2,62","2,25","0,5","0,32","1,93","2,37",0,"0,16",114,"3,61","3,4",5630,0,"2,47","41,1","0,087",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Haricot vert, cru",31,"90,4","1,85","3,85","0,21","3,03","0,82","2,85",0,"0,0096","48,5","1,02","0,8",379,0,"0,36","13,6","0,086",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Navet, pelé, cru","26,8","91,9","0,82","4,7","0,1","3,8","0,69","1,9",0,"0,11",40,"0,4","0,5",0,0,"0,03","18,5","0,04",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou-rave, cru","25,1",91,"1,79","2,35","0,1","2,35",-,"3,6",0,"0,05",24,"0,4","0,71",22,0,"0,48","55,1","0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou vert, cru","25,3","91,8","2,53","0,99","0,41","0,99",0,"3,08",0,"0,065","96,2","0,93","0,3",321,0,"0,16",69,"0,059",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Haricot vert, surgelé, cru",34,"89,4","1,97","4,35","0,17","1,96","1,53","3,68",0,"0,013","51,5","0,85","0,8",292,0,"0,24",18,"0,099",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Petits pois, crus","67,3","79,2","5,84",7,"0,55","5,67",-,"5,5",0,"0,0088","27,5","1,64","0,15",449,0,"0,075","41,5","0,29",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Asperge, pelée, crue","23,5","93,3","2,04","2,4","0,21","1,88",-,"1,95",0,"0,011",22,"1,32","0,15",449,0,"0,72","8,8","0,13",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou-fleur, surgelé, cru","25,9","92,5","2,09","2,64","0,37","1,91",-,"1,82",0,"0,047","21,7","0,51","0,3",7,0,"0,07","51,9","0,051",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Épinard, surgelé, cru","24,9","91,6","2,87","0,89","0,49","0,6",0,"2,7",0,"0,098",159,"2,28","3,4",7040,0,"2,9","21,4","0,093",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Petits pois, surgelés, crus","75,4","80,2","5,86","8,77","0,44","3,87","4,17","6,45",0,"0,09","27,3","1,53","0,15",1230,0,"0,025","20,8","0,27",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Poivron vert, cru","19,8","93,8","0,74","2,8","0,24","2,18",0,"1,75",0,"0,0032","13,5","0,35","0,4",208,0,"0,46","92,2","0,046",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Poivron rouge, cru","29,4","91,9","1,12","4,5","0,35","4,13",0,"1,9",0,"0,012","6,39","0,46","0,4",1620,0,"2,24",159,"0,052",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Radis noir, cru","20,3","93,6","0,9","3,1","< 0,1",-,"< 0,5","1,9",-,"0,022","53,8","0,15",19,< 50,0,traces,"6,4","< 0,05",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Scarole, crue","14,5","93,4","1,33","0,3","0,2","0,23","0,067","3,1",0,"0,048",52,"0,83","0,4",1500,traces,traces,"6,5","0,08",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Betterave rouge, crue","50,6","86,7","1,74","9,1","0,24","6,76",-,"2,55",0,"0,15","22,1","0,7","0,5",20,0,"0,06","6,45","0,028",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Échalote, crue","58,7","79,6","1,84","8,35","1,43","3,63",-,"2,5",0,"0,043",37,"1,2",2,3,0,"0,04",8,"0,06",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Mâche, crue","19,2","93,7","2,3","0,6","0,4",-,"< 0,5",2,0,"0,032","49,3",2,< 10,1550,0,traces,"12,5","0,06",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Légumes, mélange surgelé, crus","65,1","85,2","2,26","5,71","2,65","2,18","3,5","4,7",0,"0,6",33,"0,98",< 5,500,0,-,"13,7","0,12","< 0,08"
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, chanterelle ou girolle, crue","33,1","88,7","2,28","2,3","0,78","1,87",-,"4,23",0,"0,016","8,33","3,52","3,3",-,"5,3","0,06","5,5","0,053",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, morille, crue","24,5","89,6","3,16","0,1","0,54","0,044",-,"3,35",-,"0,064",43,"1,2",-,0,"5,1","0,05",5,"0,069",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Maïs doux, en épis, surgelé, cru","97,4","73,3","3,36",17,"1,19","3,78",-,"2,65",0,"0,01","4,18","0,59","0,5",61,0,"0,37","6,9","0,11",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Oseille, crue","23,4",93,"1,89","1,6","0,65","1,54","0,055","1,8",0,"0,0094",44,"2,4","0,4",-,0,-,48,"0,04",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, pleurote, crue","25,5","89,2","3,06","1,5","0,36","0,71",0,"2,4",0,"0,034",5,"1,17",-,29,"0,7",0,4,"0,13",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou blanc, cru","28,4","90,5","1,25","4,25","0,2",-,-,"2,3",0,"0,024","50,9","0,31","0,7",-,0,"0,02","45,8","0,049",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Tomate verte, crue","24,8",93,"1,2",4,"0,2",4,-,"1,1",0,"0,033",13,"0,51",-,346,0,"0,38","23,4","0,06",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Haricot de Lima, cru",105,"70,2","6,84","15,3","0,86","1,48",-,"4,9",0,"0,02",34,"3,14",-,126,0,"0,32","23,4","0,22",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courge musquée, pulpe, crue","23,5","93,3","0,55","4,6","0,1",-,"0,95",1,-,-,"18,3","0,43","0,5",-,-,-,"4,6","0,01",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Potimarron, pulpe, cru",18,"94,6","0,63","3,1","0,1",-,"2,26","1,1",0,"0,074","18,5","0,27","0,15",-,0,"0,1",5,"0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courge hokkaïdo, pulpe, crue","56,1","86,1","1,4","9,98","0,6",-,"4,38","2,6",-,-,"24,7","0,4",-,-,-,-,"13,9","0,015",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courge melonnette, pulpe, crue","30,8","91,2","0,75","5,98","0,13",-,"0,33","1,35",-,-,"18,3","0,48",-,-,-,-,"9,7","0,01",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courge doubeurre (butternut), pulpe, crue",25,"86,4",1,"4,03","0,1","2,2","1,83",2,0,"0,01",48,"0,7",-,4230,0,"1,44",21,"0,1",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courge, crue","14,9","92,3","1,1","1,6","0,17","1,6",-,"1,3",0,"0,011","28,5","0,6","0,15",820,0,"0,12","14,7","0,028",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Courge spaghetti, pulpe, crue","32,3","91,6","0,64","5,41","0,57","2,76",-,"1,5",0,"0,043",23,"0,31",-,64,0,"0,13","2,1","0,037",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Piment, cru","44,5","87,9","1,87","7,7","0,32","5,3","2,3","1,65",0,"0,02",14,"1,12",-,534,0,"0,69",155,"0,081",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, oronge vraie, crue","23,2","92,9",2,"2,45","0,3",1,1,"1,7",0,"0,013",17,"1,1",-,-,"2,1","0,12",3,"0,1",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, cèpe, cru","31,6","90,3","3,13","3,03","0,43","1,7","0,2","1,93",0,"0,024",23,1,-,-,"3,1","0,04",3,"0,21",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon, rosé des prés, cru","25,3","92,1","2,3","2,45","0,4",1,1,"1,7",0,"0,013",10,"1,2",-,-,0,"0,12",4,"0,1",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chicorée rouge, crue","18,9",94,"1,4","1,6","0,1","1,6",-,3,0,"0,018",36,"0,3",-,-,0,"0,57",10,"0,07",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chicorée verte, crue","16,1","91,2","1,9","0,5","0,5","0,5",-,1,0,"0,041","82,5","4,15",-,3250,0,"0,57",46,"0,06",-
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Citrouille, pulpe, crue","29,9","91,6",1,6,"0,1","2,76",-,"0,5",0,"0,0025",21,"0,8",-,3100,0,"1,06",9,"0,05",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou chinois ou pak-choi ou pé-tsai, cru",16,"95,2","1,38","1,65","0,2","1,18",-,"1,05",0,"0,13","86,4","0,68","0,3",2680,0,"0,11","40,3","0,04",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Poivron jaune, cru","29,4",92,1,"5,42","0,21",-,-,"0,9",0,"0,005",11,"0,46",-,120,0,-,184,"0,028",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Laitue romaine, crue","17,3","94,6","1,24","1,35","0,3","1,19",0,"2,1",0,"0,018",33,"0,97","1,25",5230,0,"0,13",14,"0,072",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Tomate cerise, crue","21,4",92,"0,8",3,"0,4","2,96","0,03","1,3",0,"0,033",11,"0,4",2,792,0,"1,22",28,"0,06",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Pois mange-tout ou pois gourmand, cru","44,8","88,3","3,08","6,2","0,27",4,-,"2,63",0,"0,01","40,7","2,08",-,630,0,"0,39",60,"0,15",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Panais, cru","58,3","80,6","1,54","10,1","0,4","4,8",-,"4,7",0,"0,02","45,5","0,7","0,25",0,0,"1,9","11,5","0,09",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Haricot mungo germé ou pousse de ""soja"", cru","30,5","91,7","2,57","3,4","< 0,5","3,4",-,"1,7",0,"0,043",16,"0,44",< 20,< 10,"< 0,5","0,095","4,13","0,065",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Haricot beurre, cru","36,1","90,1","1,85","5,6","0,16",-,-,"2,45",0,"0,015",41,"1,07","0,6",-,0,"0,45","18,7","0,08",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Salsifis noir, cru","83,1",77,"3,21","15,3","0,27",-,-,"3,3",0,"0,031","42,1","0,7","0,2",-,0,"0,8","5,5","0,12",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Bambou, pousse, crue","35,1","89,8","2,52","5,08","0,2",3,-,"1,45",0,"0,01","15,5","0,4",-,12,0,1,"7,5","0,095",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Cresson alénois, cru","27,1","91,1","2,55","2,2","0,6","2,2",0,"1,35",0,"0,096","75,5","1,8","0,9",4150,0,"2,15",52,"0,13",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Laitue iceberg, crue","17,7","95,6","1,01","2,45","0,18","1,48",-,"1,15",0,"0,024","17,4","0,43","0,6",299,0,"0,22","4,72","0,048",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Rutabaga, cru","33,8","89,5","1,17","5,7","0,13","4,46","0,4","2,6",0,"0,028","45,2","0,35","0,5",1,0,"0,3",33,"0,068",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Haricot beurre, surgelé, cru","33,8","89,9",2,"4,9","0,17","2,5",-,"2,33",0,"0,0092",51,"0,78","0,4",-,0,-,16,"0,099",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Brocoli, surgelé, cru","26,9","91,5","2,79","1,56","0,44","1,24",-,"2,77",0,"0,05","48,5","0,77",-,675,0,"1,29","62,3","0,063",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou de Bruxelles, surgelé, cru","43,2","86,3","3,43","4,5","0,33","2,35",-,"4,28",0,"0,029",34,"0,82","0,25",370,0,"0,34","77,5","0,12",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Carotte, surgelée, crue","30,5","90,9","0,63","4,99","0,27","4,73","0,26","2,76",0,"0,15","34,9","0,41",-,12800,0,"0,57","4,32","0,044",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Concombre, pulpe, cru","11,4","96,5","0,58","1,5","0,19","1,38","< 0,5","0,7",0,"0,016",14,"0,22",< 5,31,0,"0,03","3,73","< 0,04",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Petits pois et carottes, surgelés, crus","55,9","82,3","3,89","7,1","0,37","3,43",-,"4,3",0,"0,082","29,5","1,2",-,-,0,-,"13,6","0,19",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Roquette, crue","27,9","91,7","2,58","2,1","0,66","2,05",-,"1,6",0,"0,068",160,"1,46",-,1420,0,"0,43",15,"0,044",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Chou frisé, cru","53,5","82,8","4,33","4,2","1,07","2,26",-,"4,9",0,"0,091",185,"1,74","1,4",5930,0,"3,47",145,"0,13",0
"fruits, légumes, légumineuses et oléagineux",légumes,légumes crus,"Champignon de Paris ou champignon de couche, surgelé, cru","15,9","93,2","1,8","0,83","0,25","0,25",-,"1,97",-,"0,02",10,"0,8",-,-,-,-,4,-,-
